"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/sÂ²)"
0.05,0.226792,-0.00598222222222,-0.11077617284
0.1,0.226654,-0.0110161111111,-0.113230771605
0.15,0.226067,-0.018061,-0.0944398148148
0.2,0.224825,-0.0241394444444,-0.0128119753086
0.25,0.223168,-0.0209672222222,0.103580987654
0.3,0.222478,-0.0117544444444,0.184539135802
0.35,0.22196,-0.000672777777778,0.225877160494
0.4,0.222357,0.0118,0.241194753086
0.45,0.223185,0.0236411111111,0.247279012346
0.5,0.224652,0.0366244444444,0.248988271605
0.55,0.226861,0.0492216666667,0.239499691358
0.6,0.229674,0.0602444444444,0.23669382716
0.65,0.232849,0.0719477777778,0.249549382716
0.7,0.236766,0.0853994444444,0.258402777778
0.75,0.241391,0.09883,0.248654320988
0.8,0.24674,0.110593333333,0.232861728395
0.85,0.252504,0.12136,0.230839814815
0.9,0.258837,0.132840555556,0.243945987654
0.95,0.265687,0.146005555556,0.254076234568
1,0.273453,0.159159444444,0.249052777778
1.05,0.281718,0.170424444444,0.250606790123
1.1,0.290364,0.183867222222,0.256751851852
1.15,0.300131,0.196805,0.249834876543
1.2,0.31007,0.209164444444,0.236716666667
1.25,0.32108,0.220718888889,0.220526851852
1.3,0.332262,0.230303888889,0.221175308642
1.35,0.343979,0.241979444444,0.237825617284
1.4,0.356386,0.255037222222,0.240767283951
1.45,0.369639,0.265957222222,0.242460802469
1.5,0.38284,0.278935555556,0.244972530864
1.55,0.397473,0.292405,0.215799691358
1.6,0.412417,0.300371666667,0.190945061728
1.65,0.427464,0.308896666667,0.211279320988
1.7,0.443047,0.321733333333,0.232597222222
1.75,0.459768,0.33284,0.24731882716
1.8,0.476299,0.345678333333,0.268448148148
1.85,0.494211,0.35967,0.282834876543
1.9,0.51202,0.377720555556,0.236403703704
1.95,0.532779,0.382671666667,0.197624074074
2,0.549931,0.392961111111,0.230847222222
2.05,0.571657,0.409503333333,0.205330246914
2.1,0.591571,0.414736666667,0.164082098765
2.15,0.612986,0.422661666667,0.174858641975
2.2,0.633745,0.431365,0.201903395062
2.25,0.655902,0.444382777778,0.206844444444
2.3,0.678421,0.453413333333,0.188083024691
2.35,0.70132,0.461409444444,0.198907098765
2.4,0.724374,0.472378333333,0.226663888889
2.45,0.748481,0.484931111111,0.244155555556
2.5,0.772968,0.497067777778,0.247383333333
2.55,0.798093,0.509719444444,0.234218518519
2.6,0.823632,0.525758333333,0.136066666667
2.65,0.85176,0.523464444444,0.0476589506173
2.7,0.876056,0.520156666667,0.133212037037
2.75,0.902579,0.536879444444,0.193592283951
2.8,0.92993,0.551788888889,-0.050475308642
2.85,0.95811,0.550674444444,-0.764744135802
2.9,0.986099,0.507904444444,-2.0712941358
2.95,1.015072,0.345210555556,-3.30066574074
3,1.02427,0.113583888889,-3.27933333333
3.05,1.021129,-0.02766,-2.30218148148
3.1,1.018713,-0.105521111111,-1.37240524691
3.15,1.010206,-0.156013888889,-0.61419537037
3.2,1.000922,-0.160403888889,-0.064850308642
3.25,0.993485,-0.147970555556,0.172390061728
3.3,0.986496,-0.137091111111,0.25209904321
3.35,0.979542,-0.122070555556,0.278291574074
3.4,0.974192,-0.106864,0.253381203704
3.45,0.969119,-0.0959552777778,0.214414444444
3.5,0.965029,-0.0875688888889,0.186516111111
